"id","datetime","pm1","pm2_5","pm10"
"1","2023-09-09 15:20:14.143158","1","5","5"
"2","2023-09-09 15:20:15.025433","1","4","4"
"3","2023-09-09 15:20:15.859483","1","4","4"
"4","2023-09-09 15:20:16.787659","1","4","4"
"5","2023-09-09 15:20:17.602849","1","4","4"
"6","2023-09-09 15:20:18.434383","1","4","4"
"7","2023-09-09 15:20:19.286040","1","4","4"
"8","2023-09-09 15:20:20.188928","1","3","3"
"9","2023-09-09 15:20:21.015156","1","3","3"
"10","2023-09-09 15:20:21.876415","1","3","3"
"11","2023-09-09 15:20:22.765859","1","3","3"
"12","2023-09-09 15:20:23.602292","1","3","3"
"13","2023-09-09 15:20:24.446224","1","3","3"
"14","2023-09-09 15:20:25.365426","1","3","3"
"15","2023-09-09 15:20:26.185588","1","3","3"
"16","2023-09-09 15:20:27.024575","1","3","3"
"17","2023-09-09 15:20:27.949336","2","4","4"
"18","2023-09-09 15:20:28.788407","2","4","4"
"19","2023-09-09 15:20:29.616712","2","4","4"
"20","2023-09-09 15:20:30.532474","1","4","4"
"21","2023-09-09 15:20:31.364879","1","4","4"
"22","2023-09-09 15:20:32.220478","1","4","4"
"23","2023-09-09 15:20:33.106766","1","3","3"
"24","2023-09-09 15:20:34.002839","1","3","3"
"25","2023-09-09 15:20:34.781671","1","3","3"
"26","2023-09-09 15:20:35.701602","1","2","2"
"27","2023-09-09 15:20:36.535803","1","2","2"
"28","2023-09-09 15:20:37.363600","1","2","2"
"29","2023-09-09 15:20:38.270555","1","2","2"
"30","2023-09-09 15:20:39.115309","1","2","2"
"31","2023-09-09 15:20:39.951365","1","2","2"
"32","2023-09-09 15:20:40.852523","1","2","2"
"33","2023-09-09 15:20:41.693193","1","2","2"
"34","2023-09-09 15:20:42.517906","1","2","2"
"35","2023-09-09 15:20:43.431973","1","2","2"
"36","2023-09-09 15:20:44.275073","1","2","2"
"37","2023-09-09 15:20:45.114183","1","2","2"
"38","2023-09-09 15:20:46.016703","1","2","2"
"39","2023-09-09 15:20:46.863892","1","2","2"
"40","2023-09-09 15:20:47.704479","1","2","2"
"41","2023-09-09 15:20:48.608248","1","2","2"
"42","2023-09-09 15:20:49.437955","1","2","2"
"43","2023-09-09 15:20:50.277845","1","2","2"
"44","2023-09-09 15:20:51.185005","1","2","2"
"45","2023-09-09 15:20:52.031807","1","2","2"
"46","2023-09-09 15:20:52.876744","1","2","2"
"47","2023-09-09 15:20:53.781663","1","2","2"
"48","2023-09-09 15:20:54.606997","1","2","2"
"49","2023-09-09 15:20:55.451371","1","2","2"
"50","2023-09-09 15:20:56.358704","1","2","2"
"51","2023-09-09 15:20:57.196935","1","2","2"
"52","2023-09-09 15:20:58.047598","1","2","2"
"53","2023-09-09 15:20:58.935520","1","2","2"
"54","2023-09-09 15:20:59.776380","1","2","2"
"55","2023-09-09 15:21:00.612012","1","2","2"
"56","2023-09-09 15:21:01.524035","1","2","2"
"57","2023-09-09 15:21:02.363714","1","2","2"
"58","2023-09-09 15:21:03.209408","1","2","2"
"59","2023-09-09 15:21:04.114221","1","2","2"
"60","2023-09-09 15:21:04.949337","1","2","2"
"61","2023-09-09 15:21:05.789966","1","2","2"
"62","2023-09-09 15:21:06.696564","1","1","1"
"63","2023-09-09 15:21:07.533982","1","1","1"
"64","2023-09-09 15:21:08.373610","1","1","1"
"65","2023-09-09 15:21:09.284970","1","2","2"
"66","2023-09-09 15:21:10.110232","1","2","2"
"67","2023-09-09 15:21:10.950132","1","2","2"
"68","2023-09-09 15:21:11.860661","0","1","1"
"69","2023-09-09 15:21:12.695008","0","1","1"
"70","2023-09-09 15:21:13.533860","0","1","1"
"71","2023-09-09 15:21:14.429530","1","2","2"
"72","2023-09-09 15:21:15.276757","1","2","2"
"73","2023-09-09 15:21:16.115185","1","2","2"
"74","2023-09-09 15:21:17.023506","1","2","2"
"75","2023-09-09 15:21:17.869291","1","2","2"
"76","2023-09-09 15:21:18.689764","1","2","2"
"77","2023-09-09 15:21:19.607533","1","2","2"
"78","2023-09-09 15:21:20.442966","1","2","2"
"79","2023-09-09 15:21:21.287962","1","2","2"
"80","2023-09-09 15:21:22.194464","1","3","3"
"81","2023-09-09 15:21:23.025254","1","3","3"
"82","2023-09-09 15:21:23.866143","1","3","3"
"83","2023-09-09 15:21:24.774179","1","2","2"
"84","2023-09-09 15:21:25.609477","1","2","2"
"85","2023-09-09 15:21:26.453188","1","2","2"
"86","2023-09-09 15:21:27.525991","1","3","3"
"87","2023-09-09 15:21:28.289069","1","3","3"
"88","2023-09-09 15:21:29.118613","1","3","3"
"89","2023-09-09 15:21:30.022710","1","2","2"
"90","2023-09-09 15:21:30.861728","1","2","2"
"91","2023-09-09 15:21:31.699841","1","2","2"
"92","2023-09-09 15:21:32.532661","1","3","3"
"93","2023-09-09 15:21:33.376257","1","3","3"
"94","2023-09-09 15:21:34.213276","1","3","3"
"95","2023-09-09 15:21:35.122376","1","2","2"
"96","2023-09-09 15:21:35.956341","1","2","2"
"97","2023-09-09 15:21:36.800126","1","2","2"
"98","2023-09-09 15:21:37.706263","1","2","2"
"99","2023-09-09 15:21:38.557228","0","1","1"
"100","2023-09-09 15:21:39.372967","0","1","1"
"101","2023-09-09 15:21:40.283478","0","1","1"
"102","2023-09-09 15:21:41.123141","1","2","2"
"103","2023-09-09 15:21:41.964987","1","2","2"
"104","2023-09-09 15:21:42.872123","1","2","2"
"105","2023-09-09 15:21:43.716313","1","2","2"
"106","2023-09-09 15:21:44.556673","1","2","2"
"107","2023-09-09 15:21:45.452016","1","2","2"
"108","2023-09-09 15:21:46.293176","1","2","2"
"109","2023-09-09 15:21:47.122662","0","1","1"
"110","2023-09-09 15:21:48.036219","0","0","0"
"111","2023-09-09 15:21:48.877226","0","0","0"
"112","2023-09-09 15:21:49.708080","1","1","1"
"113","2023-09-09 15:21:50.624715","1","2","2"
"114","2023-09-09 15:21:51.458686","1","2","2"
"115","2023-09-09 15:21:52.299322","1","2","2"
"116","2023-09-09 15:21:53.203487","1","2","2"
"117","2023-09-09 15:21:54.036376","1","2","2"
"118","2023-09-09 15:21:54.880970","1","2","2"
"119","2023-09-09 15:21:55.793197","0","1","1"
"120","2023-09-09 15:21:56.630635","0","1","1"
"121","2023-09-09 15:21:57.462073","0","1","1"
"122","2023-09-09 15:21:58.369399","0","1","1"
"123","2023-09-09 15:21:59.214446","1","2","2"
"124","2023-09-09 15:22:00.058020","1","2","2"
"125","2023-09-09 15:22:00.954739","1","2","2"
"126","2023-09-09 15:22:01.804445","1","2","2"
"127","2023-09-09 15:22:02.655187","1","2","2"
"128","2023-09-09 15:22:03.539822","0","1","1"
"129","2023-09-09 15:22:04.385476","0","1","1"
"130","2023-09-09 15:22:05.208555","0","0","0"
"131","2023-09-09 15:22:06.121383","0","0","0"
"132","2023-09-09 15:22:06.965554","0","0","0"
"133","2023-09-09 15:22:07.814885","0","0","0"
"134","2023-09-09 15:22:08.706126","0","1","1"
"135","2023-09-09 15:22:09.551052","0","1","1"
"136","2023-09-09 15:22:10.383905","0","1","1"
"137","2023-09-09 15:22:11.292705","1","2","2"
"138","2023-09-09 15:22:12.136636","1","2","2"
"139","2023-09-09 15:22:12.979591","1","2","2"
"140","2023-09-09 15:22:13.883988","0","1","1"
"141","2023-09-09 15:22:14.718581","0","1","1"
"142","2023-09-09 15:22:15.554181","0","1","1"
