id,datetime,pm1,pm2_5,pm10
1,"2023-09-17 09:19:03.762796",1,1,1
2,"2023-09-17 09:19:04.585482",1,1,1
3,"2023-09-17 09:19:05.424717",1,1,1
4,"2023-09-17 09:19:06.323938",1,1,1
5,"2023-09-17 09:19:07.170792",1,1,1
6,"2023-09-17 09:19:08.008189",1,1,1
7,"2023-09-17 09:19:08.910705",1,1,1
8,"2023-09-17 09:19:09.754321",1,1,1
9,"2023-09-17 09:19:10.660125",1,1,1
10,"2023-09-17 09:19:11.496430",1,1,1
11,"2023-09-17 09:19:12.343103",1,1,1
12,"2023-09-17 09:19:13.177194",1,1,1
13,"2023-09-17 09:19:14.089805",1,1,1
14,"2023-09-17 09:19:14.915768",1,1,1
15,"2023-09-17 09:19:15.758925",1,1,1
16,"2023-09-17 09:19:16.673309",1,2,2
17,"2023-09-17 09:19:17.501649",1,2,2
18,"2023-09-17 09:19:18.344388",1,2,2
19,"2023-09-17 09:19:19.259361",1,2,2
20,"2023-09-17 09:19:20.086033",1,2,2
21,"2023-09-17 09:19:20.931006",1,2,2
22,"2023-09-17 09:19:21.833721",1,2,2
23,"2023-09-17 09:19:22.672869",1,2,2
24,"2023-09-17 09:19:23.522478",1,2,2
25,"2023-09-17 09:19:24.439277",0,1,1
26,"2023-09-17 09:19:25.260821",0,1,1
27,"2023-09-17 09:19:26.094135",0,1,1
28,"2023-09-17 09:19:27.012746",1,2,2
29,"2023-09-17 09:19:27.853640",1,2,2
30,"2023-09-17 09:19:28.701347",1,2,2
31,"2023-09-17 09:19:29.593458",1,2,2
32,"2023-09-17 09:19:30.434099",1,2,2
33,"2023-09-17 09:19:31.268075",1,2,2
34,"2023-09-17 09:19:32.185666",0,2,2
35,"2023-09-17 09:19:33.015150",0,2,2
36,"2023-09-17 09:19:33.856927",0,2,2
37,"2023-09-17 09:19:34.761468",0,2,2
38,"2023-09-17 09:19:35.602397",0,2,2
39,"2023-09-17 09:19:36.443316",0,2,2
40,"2023-09-17 09:19:37.348508",0,1,1
41,"2023-09-17 09:19:38.190938",0,1,1
42,"2023-09-17 09:19:39.028996",0,1,1
43,"2023-09-17 09:19:39.933735",0,1,1
44,"2023-09-17 09:19:40.772941",0,1,1
45,"2023-09-17 09:19:41.600198",0,1,1
46,"2023-09-17 09:19:42.518613",0,0,0
47,"2023-09-17 09:19:43.365272",0,0,0
48,"2023-09-17 09:19:44.193814",0,0,0
49,"2023-09-17 09:19:45.098947",1,1,1
50,"2023-09-17 09:19:45.929445",1,1,1
51,"2023-09-17 09:19:46.774033",1,1,1
52,"2023-09-17 09:19:47.678352",1,1,1
53,"2023-09-17 09:19:48.518362",1,1,1
54,"2023-09-17 09:19:49.361585",1,1,1
55,"2023-09-17 09:19:50.265479",1,1,1
56,"2023-09-17 09:19:51.106747",1,1,1
57,"2023-09-17 09:19:51.950717",1,1,1
58,"2023-09-17 09:19:52.860757",0,0,0
59,"2023-09-17 09:19:53.708221",0,0,0
60,"2023-09-17 09:19:54.548347",0,0,0
61,"2023-09-17 09:19:55.434860",0,1,1
62,"2023-09-17 09:19:56.275359",0,1,1
63,"2023-09-17 09:19:57.111967",0,1,1
64,"2023-09-17 09:19:58.020848",0,0,0
65,"2023-09-17 09:19:58.858118",0,0,0
66,"2023-09-17 09:19:59.689908",0,0,0
67,"2023-09-17 09:20:00.606721",0,1,1
68,"2023-09-17 09:20:01.444407",0,1,1
69,"2023-09-17 09:20:02.282752",0,1,1
70,"2023-09-17 09:20:03.190602",1,1,1
71,"2023-09-17 09:20:04.022326",1,1,1
72,"2023-09-17 09:20:04.868231",1,1,1
73,"2023-09-17 09:20:05.777569",1,1,1
74,"2023-09-17 09:20:06.622132",1,1,1
75,"2023-09-17 09:20:07.459509",1,1,1
76,"2023-09-17 09:20:08.364055",1,1,1
77,"2023-09-17 09:20:09.203447",1,1,1
78,"2023-09-17 09:20:10.041567",1,1,1
79,"2023-09-17 09:20:10.949901",0,1,1
80,"2023-09-17 09:20:11.781857",0,1,1
81,"2023-09-17 09:20:12.626349",0,1,1
82,"2023-09-17 09:20:13.539575",0,1,1
83,"2023-09-17 09:20:14.369267",0,1,1
84,"2023-09-17 09:20:15.208155",0,1,1
85,"2023-09-17 09:20:16.117653",0,1,1
86,"2023-09-17 09:20:16.954449",0,1,1
87,"2023-09-17 09:20:17.793715",0,1,1
88,"2023-09-17 09:20:18.701759",0,1,1
89,"2023-09-17 09:20:19.531982",0,1,1
90,"2023-09-17 09:20:20.377238",0,1,1
91,"2023-09-17 09:20:21.289803",1,1,1
92,"2023-09-17 09:20:22.116531",1,1,1
93,"2023-09-17 09:20:22.961906",1,1,1
94,"2023-09-17 09:20:23.870115",1,1,1
95,"2023-09-17 09:20:24.712186",1,1,1
96,"2023-09-17 09:20:25.550422",1,1,1
97,"2023-09-17 09:20:26.455495",1,1,1
98,"2023-09-17 09:20:27.297615",1,1,1
99,"2023-09-17 09:20:28.132231",1,1,1
100,"2023-09-17 09:20:29.031136",1,1,1
101,"2023-09-17 09:20:29.878704",1,1,1
102,"2023-09-17 09:20:30.716859",1,1,1
103,"2023-09-17 09:20:31.629707",1,1,1
104,"2023-09-17 09:20:32.464232",1,1,1
105,"2023-09-17 09:20:33.310340",1,1,1
106,"2023-09-17 09:20:34.288325",1,1,1
107,"2023-09-17 09:20:35.060499",1,1,1
108,"2023-09-17 09:20:35.887436",1,1,1
109,"2023-09-17 09:20:36.798596",1,1,1
110,"2023-09-17 09:20:37.630218",1,1,1
111,"2023-09-17 09:20:38.475875",1,1,1
112,"2023-09-17 09:20:39.381572",1,2,2
113,"2023-09-17 09:20:40.220792",1,2,2
114,"2023-09-17 09:20:41.061095",1,2,2
115,"2023-09-17 09:20:41.962881",1,2,2
116,"2023-09-17 09:20:42.809354",1,2,2
117,"2023-09-17 09:20:43.648211",1,2,2
118,"2023-09-17 09:20:44.555036",1,2,2
119,"2023-09-17 09:20:45.396682",1,2,2
120,"2023-09-17 09:20:46.234864",1,2,2
121,"2023-09-17 09:20:47.143438",1,2,2
122,"2023-09-17 09:20:47.985057",1,2,2
123,"2023-09-17 09:20:48.825340",1,2,2
124,"2023-09-17 09:20:49.725237",1,2,2
125,"2023-09-17 09:20:50.562750",1,2,2
126,"2023-09-17 09:20:51.392914",1,2,2
127,"2023-09-17 09:20:52.308867",1,2,2
128,"2023-09-17 09:20:53.155709",1,2,2
129,"2023-09-17 09:20:53.987163",1,2,2
130,"2023-09-17 09:20:54.894450",1,2,2
131,"2023-09-17 09:20:55.725928",1,2,2
132,"2023-09-17 09:20:56.572746",1,2,2
133,"2023-09-17 09:20:57.482882",1,2,2
134,"2023-09-17 09:20:58.315457",1,2,2
135,"2023-09-17 09:20:59.157811",1,2,2
136,"2023-09-17 09:21:00.066002",1,2,2
137,"2023-09-17 09:21:00.907753",1,2,2
138,"2023-09-17 09:21:01.740905",1,2,2
139,"2023-09-17 09:21:02.639937",1,2,2
140,"2023-09-17 09:21:03.489607",1,2,2
141,"2023-09-17 09:21:04.335127",1,2,2
