"id","datetime","pm0_3","pm0_5","pm1","pm2_5","pm5","pm10"
"1","2023-09-09 15:20:13.894023","0","0","0","0","0","0"
"2","2023-09-09 15:20:14.243283","390","114","36","8","0","0"
"3","2023-09-09 15:20:15.067808","378","110","32","8","0","0"
"4","2023-09-09 15:20:15.898025","378","110","32","8","0","0"
"5","2023-09-09 15:20:16.838318","378","110","32","8","0","0"
"6","2023-09-09 15:20:17.648700","366","106","26","6","0","0"
"7","2023-09-09 15:20:18.480106","366","106","26","6","0","0"
"8","2023-09-09 15:20:19.325280","366","106","26","6","0","0"
"9","2023-09-09 15:20:20.234004","336","94","18","6","0","0"
"10","2023-09-09 15:20:21.056830","336","94","18","6","0","0"
"11","2023-09-09 15:20:21.921327","336","94","18","6","0","0"
"12","2023-09-09 15:20:22.812891","348","98","20","6","0","0"
"13","2023-09-09 15:20:23.652894","348","98","20","6","0","0"
"14","2023-09-09 15:20:24.486903","348","98","20","6","0","0"
"15","2023-09-09 15:20:25.404528","342","104","22","6","0","0"
"16","2023-09-09 15:20:26.237504","342","104","22","6","0","0"
"17","2023-09-09 15:20:27.083932","342","104","22","6","0","0"
"18","2023-09-09 15:20:27.991000","366","112","22","6","0","0"
"19","2023-09-09 15:20:28.843822","366","112","22","6","0","0"
"20","2023-09-09 15:20:29.678185","366","112","22","6","0","0"
"21","2023-09-09 15:20:30.582299","360","106","22","6","0","0"
"22","2023-09-09 15:20:31.416755","360","106","22","6","0","0"
"23","2023-09-09 15:20:32.270468","360","106","22","6","0","0"
"24","2023-09-09 15:20:33.152890","324","98","22","6","0","0"
"25","2023-09-09 15:20:34.043516","324","98","22","6","0","0"
"26","2023-09-09 15:20:34.844190","324","98","22","6","0","0"
"27","2023-09-09 15:20:35.749874","294","90","12","0","0","0"
"28","2023-09-09 15:20:36.581565","294","90","12","0","0","0"
"29","2023-09-09 15:20:37.421985","294","90","12","0","0","0"
"30","2023-09-09 15:20:38.331589","282","84","10","0","0","0"
"31","2023-09-09 15:20:39.159516","282","84","10","0","0","0"
"32","2023-09-09 15:20:40.014142","282","84","10","0","0","0"
"33","2023-09-09 15:20:40.894086","282","84","16","0","0","0"
"34","2023-09-09 15:20:41.737266","282","84","16","0","0","0"
"35","2023-09-09 15:20:42.553377","282","84","16","0","0","0"
"36","2023-09-09 15:20:43.478299","288","86","18","0","0","0"
"37","2023-09-09 15:20:44.318409","288","86","18","0","0","0"
"38","2023-09-09 15:20:45.157390","288","86","18","0","0","0"
"39","2023-09-09 15:20:46.063211","312","94","22","0","0","0"
"40","2023-09-09 15:20:46.904858","312","94","22","0","0","0"
"41","2023-09-09 15:20:47.749107","312","94","22","0","0","0"
"42","2023-09-09 15:20:48.640981","306","94","20","0","0","0"
"43","2023-09-09 15:20:49.460311","306","94","20","0","0","0"
"44","2023-09-09 15:20:50.323871","306","94","20","0","0","0"
"45","2023-09-09 15:20:51.227501","288","86","18","0","0","0"
"46","2023-09-09 15:20:52.073117","288","86","18","0","0","0"
"47","2023-09-09 15:20:52.911693","288","86","18","0","0","0"
"48","2023-09-09 15:20:53.841932","276","82","18","0","0","0"
"49","2023-09-09 15:20:54.656359","276","82","18","0","0","0"
"50","2023-09-09 15:20:55.492703","276","82","18","0","0","0"
"51","2023-09-09 15:20:56.399623","276","84","16","0","0","0"
"52","2023-09-09 15:20:57.242819","276","84","16","0","0","0"
"53","2023-09-09 15:20:58.090161","276","84","16","0","0","0"
"54","2023-09-09 15:20:58.972717","306","94","18","0","0","0"
"55","2023-09-09 15:20:59.814373","306","94","18","0","0","0"
"56","2023-09-09 15:21:00.646695","306","94","18","0","0","0"
"57","2023-09-09 15:21:01.572668","306","92","18","0","0","0"
"58","2023-09-09 15:21:02.416120","306","92","18","0","0","0"
"59","2023-09-09 15:21:03.252685","306","92","18","0","0","0"
"60","2023-09-09 15:21:04.157797","300","92","20","0","0","0"
"61","2023-09-09 15:21:04.992556","300","92","20","0","0","0"
"62","2023-09-09 15:21:05.843828","300","92","20","0","0","0"
"63","2023-09-09 15:21:06.739796","288","88","14","0","0","0"
"64","2023-09-09 15:21:07.574555","288","88","14","0","0","0"
"65","2023-09-09 15:21:08.421222","288","88","14","0","0","0"
"66","2023-09-09 15:21:09.336250","288","88","16","2","0","0"
"67","2023-09-09 15:21:10.154903","288","88","16","2","0","0"
"68","2023-09-09 15:21:11.089559","288","88","16","2","0","0"
"69","2023-09-09 15:21:11.905268","270","84","12","2","0","0"
"70","2023-09-09 15:21:12.739309","270","84","12","2","0","0"
"71","2023-09-09 15:21:13.575698","270","84","12","2","0","0"
"72","2023-09-09 15:21:14.453990","270","82","12","2","0","0"
"73","2023-09-09 15:21:15.326499","270","82","12","2","0","0"
"74","2023-09-09 15:21:16.157816","270","82","12","2","0","0"
"75","2023-09-09 15:21:17.065577","288","86","14","4","0","0"
"76","2023-09-09 15:21:17.911292","288","86","14","4","0","0"
"77","2023-09-09 15:21:18.713164","288","86","14","4","0","0"
"78","2023-09-09 15:21:19.640462","300","88","16","4","0","0"
"79","2023-09-09 15:21:20.485011","300","88","16","4","0","0"
"80","2023-09-09 15:21:21.337085","300","88","16","4","0","0"
"81","2023-09-09 15:21:22.238901","306","92","16","4","0","0"
"82","2023-09-09 15:21:23.057590","306","92","16","4","0","0"
"83","2023-09-09 15:21:23.907373","306","92","16","4","0","0"
"84","2023-09-09 15:21:24.815093","288","82","14","4","0","0"
"85","2023-09-09 15:21:25.645500","288","82","14","4","0","0"
"86","2023-09-09 15:21:26.492777","288","82","14","4","0","0"
"87","2023-09-09 15:21:27.655697","288","84","14","4","0","0"
"88","2023-09-09 15:21:28.412458","288","84","14","4","0","0"
"89","2023-09-09 15:21:29.234302","288","84","14","4","0","0"
"90","2023-09-09 15:21:30.144115","282","82","14","4","0","0"
"91","2023-09-09 15:21:30.979623","282","82","14","4","0","0"
"92","2023-09-09 15:21:31.838038","282","82","14","4","0","0"
"93","2023-09-09 15:21:32.576096","300","88","16","4","0","0"
"94","2023-09-09 15:21:33.424927","300","88","16","4","0","0"
"95","2023-09-09 15:21:34.256302","300","88","16","4","0","0"
"96","2023-09-09 15:21:35.176387","306","90","16","2","0","0"
"97","2023-09-09 15:21:35.996329","306","90","16","2","0","0"
"98","2023-09-09 15:21:36.847246","306","90","16","2","0","0"
"99","2023-09-09 15:21:37.759044","330","98","18","2","0","0"
"100","2023-09-09 15:21:38.594730","330","98","18","2","0","0"
"101","2023-09-09 15:21:39.410851","330","98","18","2","0","0"
"102","2023-09-09 15:21:40.328740","336","100","18","2","0","0"
"103","2023-09-09 15:21:41.158318","336","100","18","2","0","0"
"104","2023-09-09 15:21:42.012934","336","100","18","2","0","0"
"105","2023-09-09 15:21:42.924100","306","92","18","0","0","0"
"106","2023-09-09 15:21:43.768021","306","92","18","0","0","0"
"107","2023-09-09 15:21:44.601671","306","92","18","0","0","0"
"108","2023-09-09 15:21:45.483885","288","88","18","0","0","0"
"109","2023-09-09 15:21:46.423819","288","88","18","0","0","0"
"110","2023-09-09 15:21:47.161098","288","88","18","0","0","0"
"111","2023-09-09 15:21:48.072843","258","78","16","0","0","0"
"112","2023-09-09 15:21:48.915560","258","78","16","0","0","0"
"113","2023-09-09 15:21:49.758968","258","78","16","0","0","0"
"114","2023-09-09 15:21:50.670777","252","80","22","2","0","0"
"115","2023-09-09 15:21:51.509819","252","80","22","2","0","0"
"116","2023-09-09 15:21:52.335555","252","80","22","2","0","0"
"117","2023-09-09 15:21:53.240606","246","78","22","2","0","0"
"118","2023-09-09 15:21:54.077722","246","78","22","2","0","0"
"119","2023-09-09 15:21:54.928790","246","78","22","2","0","0"
"120","2023-09-09 15:21:55.840358","276","88","24","2","0","0"
"121","2023-09-09 15:21:56.670721","276","88","24","2","0","0"
"122","2023-09-09 15:21:57.505939","276","88","24","2","0","0"
"123","2023-09-09 15:21:58.420203","276","86","22","2","0","0"
"124","2023-09-09 15:21:59.254822","276","86","22","2","0","0"
"125","2023-09-09 15:22:00.098728","276","86","22","2","0","0"
"126","2023-09-09 15:22:01.013077","264","78","18","2","0","0"
"127","2023-09-09 15:22:01.851844","264","78","18","2","0","0"
"128","2023-09-09 15:22:02.708716","264","78","18","2","0","0"
"129","2023-09-09 15:22:03.576889","240","66","16","2","0","0"
"130","2023-09-09 15:22:04.422632","240","66","16","2","0","0"
"131","2023-09-09 15:22:05.244866","240","66","16","2","0","0"
"132","2023-09-09 15:22:06.169875","234","66","18","2","0","0"
"133","2023-09-09 15:22:07.011417","234","66","18","2","0","0"
"134","2023-09-09 15:22:07.856323","234","66","18","2","0","0"
"135","2023-09-09 15:22:08.755003","228","66","20","2","0","0"
"136","2023-09-09 15:22:09.593924","228","66","20","2","0","0"
"137","2023-09-09 15:22:10.428497","228","66","20","2","0","0"
"138","2023-09-09 15:22:11.352507","234","66","18","2","0","0"
"139","2023-09-09 15:22:12.174859","234","66","18","2","0","0"
"140","2023-09-09 15:22:13.031692","234","66","18","2","0","0"
