id,datetime,pm0_3,pm0_5,pm1,pm2_5,pm5,pm10
1,"2023-09-18 19:16:45.526134",0,0,0,0,0,0
2,"2023-09-18 19:16:47.979224",648,194,54,8,0,0
3,"2023-09-18 19:16:48.637326",648,194,54,8,0,0
4,"2023-09-18 19:16:49.485958",648,194,54,8,0,0
5,"2023-09-18 19:16:50.368187",642,190,54,8,0,0
6,"2023-09-18 19:16:51.354756",642,190,54,8,0,0
7,"2023-09-18 19:16:51.929741",642,190,54,8,0,0
8,"2023-09-18 19:16:52.824147",678,208,60,6,0,0
9,"2023-09-18 19:16:53.649512",678,208,60,6,0,0
10,"2023-09-18 19:16:54.501462",678,208,60,6,0,0
11,"2023-09-18 19:16:55.401684",708,214,58,6,0,0
12,"2023-09-18 19:16:56.227375",708,214,58,6,0,0
13,"2023-09-18 19:16:57.075716",708,214,58,6,0,0
14,"2023-09-18 19:16:57.994048",690,208,60,6,0,0
15,"2023-09-18 19:16:58.835763",690,208,60,6,0,0
16,"2023-09-18 19:16:59.663367",690,208,60,6,0,0
17,"2023-09-18 19:17:00.569862",714,216,62,4,0,0
18,"2023-09-18 19:17:01.405757",714,216,62,4,0,0
19,"2023-09-18 19:17:02.251230",714,216,62,4,0,0
20,"2023-09-18 19:17:03.164027",684,206,64,4,0,0
21,"2023-09-18 19:17:03.991506",684,206,64,4,0,0
22,"2023-09-18 19:17:04.829389",684,206,64,4,0,0
23,"2023-09-18 19:17:05.731830",696,210,60,4,0,0
24,"2023-09-18 19:17:06.577169",696,210,60,4,0,0
25,"2023-09-18 19:17:07.405002",696,210,60,4,0,0
26,"2023-09-18 19:17:08.336318",636,192,52,2,0,0
27,"2023-09-18 19:17:09.168369",636,192,52,2,0,0
28,"2023-09-18 19:17:09.997452",636,192,52,2,0,0
29,"2023-09-18 19:17:10.907034",642,194,42,2,0,0
30,"2023-09-18 19:17:11.739828",642,194,42,2,0,0
31,"2023-09-18 19:17:12.577667",642,194,42,2,0,0
32,"2023-09-18 19:17:13.491626",642,188,42,4,0,0
33,"2023-09-18 19:17:14.332181",642,188,42,4,0,0
34,"2023-09-18 19:17:15.175117",642,188,42,4,0,0
35,"2023-09-18 19:17:16.115778",666,192,46,4,0,0
36,"2023-09-18 19:17:16.909654",666,192,46,4,0,0
37,"2023-09-18 19:17:17.748042",666,192,46,4,0,0
38,"2023-09-18 19:17:18.664258",618,174,42,4,0,0
39,"2023-09-18 19:17:19.501638",618,174,42,4,0,0
40,"2023-09-18 19:17:20.345122",618,174,42,4,0,0
41,"2023-09-18 19:17:21.252697",582,166,40,4,0,0
42,"2023-09-18 19:17:22.105075",582,166,40,4,0,0
43,"2023-09-18 19:17:22.907801",582,166,40,4,0,0
44,"2023-09-18 19:17:23.823628",600,168,34,4,0,0
45,"2023-09-18 19:17:24.665628",600,168,34,4,0,0
46,"2023-09-18 19:17:25.483486",600,168,34,4,0,0
47,"2023-09-18 19:17:26.400994",600,168,34,4,0,0
48,"2023-09-18 19:17:27.254634",600,168,34,4,0,0
49,"2023-09-18 19:17:28.081818",600,168,34,4,0,0
50,"2023-09-18 19:17:28.990531",606,170,28,4,0,0
51,"2023-09-18 19:17:29.826297",606,170,28,4,0,0
52,"2023-09-18 19:17:30.652930",606,170,28,4,0,0
53,"2023-09-18 19:17:31.572999",588,168,30,2,0,0
54,"2023-09-18 19:17:32.402240",588,168,30,2,0,0
55,"2023-09-18 19:17:33.247283",588,168,30,2,0,0
56,"2023-09-18 19:17:34.144163",606,174,32,2,0,0
57,"2023-09-18 19:17:34.987812",606,174,32,2,0,0
58,"2023-09-18 19:17:35.820966",606,174,32,2,0,0
59,"2023-09-18 19:17:36.742734",576,166,36,2,0,0
60,"2023-09-18 19:17:37.591123",576,166,36,2,0,0
61,"2023-09-18 19:17:38.405065",576,166,36,2,0,0
62,"2023-09-18 19:17:39.301687",558,166,38,0,0,0
63,"2023-09-18 19:17:40.155727",558,166,38,0,0,0
64,"2023-09-18 19:17:41.076352",558,166,38,0,0,0
65,"2023-09-18 19:17:41.892004",534,162,34,0,0,0
66,"2023-09-18 19:17:42.740724",534,162,34,0,0,0
67,"2023-09-18 19:17:43.567645",534,162,34,0,0,0
68,"2023-09-18 19:17:44.480591",600,180,42,2,0,0
69,"2023-09-18 19:17:45.316686",600,180,42,2,0,0
70,"2023-09-18 19:17:46.147891",600,180,42,2,0,0
71,"2023-09-18 19:17:47.063731",624,192,48,2,0,0
72,"2023-09-18 19:17:47.910329",624,192,48,2,0,0
73,"2023-09-18 19:17:48.745506",624,192,48,2,0,0
74,"2023-09-18 19:17:49.659928",636,202,50,2,0,0
75,"2023-09-18 19:17:50.454296",636,202,50,2,0,0
76,"2023-09-18 19:17:51.310625",636,202,50,2,0,0
77,"2023-09-18 19:17:52.237106",630,194,48,2,0,0
78,"2023-09-18 19:17:53.058854",630,194,48,2,0,0
79,"2023-09-18 19:17:53.900335",630,194,48,2,0,0
80,"2023-09-18 19:17:54.790567",600,184,46,2,0,0
81,"2023-09-18 19:17:55.642786",600,184,46,2,0,0
82,"2023-09-18 19:17:56.495249",600,184,46,2,0,0
83,"2023-09-18 19:17:57.377902",594,180,46,2,0,0
