"id","datetime","pm0_3","pm0_5","pm1","pm2_5","pm5","pm10"
"1","2023-09-08 18:38:08.194708","0","0","0","0","0","0"
"2","2023-09-08 18:38:08.380020","0","0","0","0","0","0"
"3","2023-09-08 18:38:10.259847","372","108","24","0","0","0"
"4","2023-09-08 18:38:11.014421","372","108","24","0","0","0"
"5","2023-09-08 18:38:11.866917","372","108","24","0","0","0"
"6","2023-09-08 18:38:12.757951","396","114","26","0","0","0"
"7","2023-09-08 18:38:13.620830","396","114","26","0","0","0"
"8","2023-09-08 18:38:14.450430","396","114","26","0","0","0"
"9","2023-09-08 18:38:15.364096","396","116","24","0","0","0"
"10","2023-09-08 18:38:16.212306","396","116","24","0","0","0"
"11","2023-09-08 18:38:17.032765","396","116","24","0","0","0"
"12","2023-09-08 18:38:17.943663","420","126","26","0","0","0"
"13","2023-09-08 18:38:18.757436","420","126","26","0","0","0"
"14","2023-09-08 18:38:19.618554","420","126","26","0","0","0"
"15","2023-09-08 18:38:20.529195","432","126","26","2","0","0"
"16","2023-09-08 18:38:21.359516","432","126","26","2","0","0"
"17","2023-09-08 18:38:22.203417","432","126","26","2","0","0"
"18","2023-09-08 18:38:23.121431","426","124","30","4","0","0"
"19","2023-09-08 18:38:23.956787","426","124","30","4","0","0"
"20","2023-09-08 18:38:24.805964","426","124","30","4","0","0"
"21","2023-09-08 18:38:25.685938","396","112","30","4","0","0"
"22","2023-09-08 18:38:26.525120","396","112","30","4","0","0"
"23","2023-09-08 18:38:27.358298","396","112","30","4","0","0"
"24","2023-09-08 18:38:28.272390","396","108","26","4","0","0"
"25","2023-09-08 18:38:29.081939","396","108","26","4","0","0"
"26","2023-09-08 18:38:29.916087","396","108","26","4","0","0"
"27","2023-09-08 18:38:30.849550","360","100","22","4","0","0"
"28","2023-09-08 18:38:31.688955","360","100","22","4","0","0"
"29","2023-09-08 18:38:32.524643","360","100","22","4","0","0"
"30","2023-09-08 18:38:33.433420","378","110","22","4","0","0"
"31","2023-09-08 18:38:34.286356","378","110","22","4","0","0"
"32","2023-09-08 18:38:35.106288","378","110","22","4","0","0"
"33","2023-09-08 18:38:36.012000","390","112","24","4","0","0"
"34","2023-09-08 18:38:36.827988","390","112","24","4","0","0"
"35","2023-09-08 18:38:37.686890","390","112","24","4","0","0"
"36","2023-09-08 18:38:38.582194","378","112","26","4","0","0"
"37","2023-09-08 18:38:39.451877","378","112","26","4","0","0"
"38","2023-09-08 18:38:40.265766","378","112","26","4","0","0"
"39","2023-09-08 18:38:41.157145","414","122","32","4","0","0"
"40","2023-09-08 18:38:42.002213","414","122","32","4","0","0"
"41","2023-09-08 18:38:42.831663","414","122","32","4","0","0"
"42","2023-09-08 18:38:43.761011","396","116","32","4","0","0"
"43","2023-09-08 18:38:44.575661","396","116","32","4","0","0"
"44","2023-09-08 18:38:45.468500","396","116","32","4","0","0"
"45","2023-09-08 18:38:46.338213","360","108","30","2","0","0"
"46","2023-09-08 18:38:47.170237","360","108","30","2","0","0"
"47","2023-09-08 18:38:47.999568","360","108","30","2","0","0"
"48","2023-09-08 18:38:48.899706","396","120","26","0","0","0"
"49","2023-09-08 18:38:49.760901","396","120","26","0","0","0"
"50","2023-09-08 18:38:50.575567","396","120","26","0","0","0"
"51","2023-09-08 18:38:51.499785","432","132","26","0","0","0"
"52","2023-09-08 18:38:52.337132","432","132","26","0","0","0"
"53","2023-09-08 18:38:53.175504","432","132","26","0","0","0"
"54","2023-09-08 18:38:54.088458","420","130","22","0","0","0"
"55","2023-09-08 18:38:54.917460","420","130","22","0","0","0"
"56","2023-09-08 18:38:55.759934","420","130","22","0","0","0"
"57","2023-09-08 18:38:56.646589","438","132","26","0","0","0"
"58","2023-09-08 18:38:57.508929","438","132","26","0","0","0"
"59","2023-09-08 18:38:58.340515","438","132","26","0","0","0"
"60","2023-09-08 18:38:59.236507","426","128","30","0","0","0"
"61","2023-09-08 18:39:00.080128","426","128","30","0","0","0"
"62","2023-09-08 18:39:00.913171","426","128","30","0","0","0"
"63","2023-09-08 18:39:01.820054","396","122","32","0","0","0"
"64","2023-09-08 18:39:02.636818","396","122","32","0","0","0"
"65","2023-09-08 18:39:03.522220","396","122","32","0","0","0"
"66","2023-09-08 18:39:04.407360","378","112","26","0","0","0"
"67","2023-09-08 18:39:05.253619","378","112","26","0","0","0"
"68","2023-09-08 18:39:06.077506","378","112","26","0","0","0"
"69","2023-09-08 18:39:06.964618","330","98","18","0","0","0"
"70","2023-09-08 18:39:07.813820","330","98","18","0","0","0"
"71","2023-09-08 18:39:08.640543","330","98","18","0","0","0"
"72","2023-09-08 18:39:09.570041","336","98","18","0","0","0"
"73","2023-09-08 18:39:10.415043","336","98","18","0","0","0"
"74","2023-09-08 18:39:11.238137","336","98","18","0","0","0"
"75","2023-09-08 18:39:12.168239","348","100","20","0","0","0"
"76","2023-09-08 18:39:12.983702","348","100","20","0","0","0"
"77","2023-09-08 18:39:13.841146","348","100","20","0","0","0"
"78","2023-09-08 18:39:14.746087","336","94","22","0","0","0"
"79","2023-09-08 18:39:15.576610","336","94","22","0","0","0"
"80","2023-09-08 18:39:16.412512","336","94","22","0","0","0"
"81","2023-09-08 18:39:17.320109","318","86","22","0","0","0"
"82","2023-09-08 18:39:18.149326","318","86","22","0","0","0"
"83","2023-09-08 18:39:18.978349","318","86","22","0","0","0"
"84","2023-09-08 18:39:19.895721","324","88","22","0","0","0"
"85","2023-09-08 18:39:20.745216","324","88","22","0","0","0"
"86","2023-09-08 18:39:21.578058","324","88","22","0","0","0"
"87","2023-09-08 18:39:22.489337","318","88","20","0","0","0"
"88","2023-09-08 18:39:23.322687","318","88","20","0","0","0"
"89","2023-09-08 18:39:24.148402","318","88","20","0","0","0"
"90","2023-09-08 18:39:25.036560","324","88","16","0","0","0"
"91","2023-09-08 18:39:25.890437","324","88","16","0","0","0"
"92","2023-09-08 18:39:26.714186","324","88","16","0","0","0"
"93","2023-09-08 18:39:27.660450","318","82","12","0","0","0"
"94","2023-09-08 18:39:28.484346","318","82","12","0","0","0"
"95","2023-09-08 18:39:29.339155","318","82","12","0","0","0"
"96","2023-09-08 18:39:30.236431","336","90","16","2","0","0"
"97","2023-09-08 18:39:31.069547","336","90","16","2","0","0"
"98","2023-09-08 18:39:31.905197","336","90","16","2","0","0"
"99","2023-09-08 18:39:32.816491","348","92","20","2","0","0"
"100","2023-09-08 18:39:33.631901","348","92","20","2","0","0"
"101","2023-09-08 18:39:34.482026","348","92","20","2","0","0"
"102","2023-09-08 18:39:35.384379","342","92","20","2","0","0"
"103","2023-09-08 18:39:36.229169","342","92","20","2","0","0"
"104","2023-09-08 18:39:37.035474","342","92","20","2","0","0"
"105","2023-09-08 18:39:37.962100","372","98","20","2","0","0"
"106","2023-09-08 18:39:38.780965","372","98","20","2","0","0"
"107","2023-09-08 18:39:39.642626","372","98","20","2","0","0"
